index,name,text,trigger,quest,StartEvent,EndEvent,optionA,optionB
0,민우,아니라니까요 수사관님! 저는 진짜 몰랐어요!,,,,,,
0,민우,인터넷에서 유튜버 보물찾기 소품 알바라고 해서…,,,,,,
0,민우,시키는 대로 가방만 옮겨준 것뿐이라고요! 저도 속은 피해자입니다!,,,,,,
0,수사관,몰랐다?,,,,,,
0,수사관,네가 '보물'이랍시고 동네 구석구석 뿌리고 다닌 게 뭔지 똑바로 봐,,,,,,
0,수사관,네가 돈 몇 푼 얻겠다고 숨겨둔 그 캡슐들… 전부 고순도 신종 마약이다,,,ObjMove,,,
0,수사관,네가 가방을 나르는 일주일 동안| 주민 세 명이 실려 갔고 한 명은 의식 불명이야,,,,,,
0,민우,마… 마약이요…? 내가… 마약을…,,,,,,
0,수사관,'몰랐다'는 말 한마디로 네 죄가 씻겨나갈 것 같아?,,,,ObjMove,,
0,수사관,상선 얼굴도 모른 채| 돈에 눈이 멀어 직접 약을 배달한 시점에서 넌 단순 알바생이 아니야,,,,,,
0,수사관,넌 마약 유통 조직의 핵심 운반책| 즉 '던지기' 범죄자다,,,,,,
0,수사관,마약류 유통은 기본 무기징역 아니면 5년 이상의 실형이지,,,,,,
0,수사관,네 인생은 여기서 끝났어,,,,,,
0,민우,안 돼… 제발… 제발 한 번만 살려주세요…!,,,,,,
0,민우,고작 몇십만원에 내 인생이 이렇게 끝난다고?! 안 돼… 안 돼!!!,,,,,,
