index,name,text,trigger,quest,StartEvent,EndEvent,optionA,optionB
0,민우,낮에 들은 얘기 때문에 좀 찝찝하긴 한데...,,,,,,
0,민우,그래도 이거만한 알바가 없다 역시,,,,SendMessage,,
0,민우,이번에는 어디려나…,Reply,핸드폰을 키고 연락을 보내자,,,,
1,민우,오늘도 거기구만,,,,,,
1,민우,얼른 가서 물건부터 챙기자,Interact,버스 정류장에서 물건을 가져오자,,SettingObj,,
2,민우,찾았다!\오늘도 역시나 묵직하네,,,,,,
2,민우,일단 픽업했다고 연락해야겠다,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
3,,,,,SendMessage,,,
4,민우,다음 장소 좌표 확인 완료...| 이번에는 조금 멀리 있네…,,,,,,
4,민우,서둘러서 가야겠어,OpenPanel,탐색기를 활용해 목적지를 찾아가자,,SettingObj,,
5,민우,뭐야| 경찰 통제선이 쳐져 있잖아?,,,,,,
5,민우,낮에 사람들이 흉흉하다고 하던 게 이거였나...,,,,,,
5,민우,일단 여기엔 못 숨긴다고 연락해야겠다,Reply,핸드폰으로 상황을 보고하자,,ReplyMessage,,
6,,,,,SendMessage,,,
7,민우,...뭐야 왜 저렇게 당황해?,,,,,,
7,민우,유튜버 촬영인데 경찰이 통제한다고 장소를 바꿔?,,,,,,
7,민우,찝찝하지만| 일단 새로 알려준 장소로 가자…,OpenPanel,변경된 장소를 탐색하자,,SettingObj,,
8,민우,여기가 변경된 위치네,,,,,,
8,민우,얼른 사진 찍어서 보내고 빠져야겠다,Hiding,,,,,
9,민우,이러면 되겠지…?,,,,,,
9,민우,보고나 하자,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
10,,,,,SendMessage,Escape,,
11,,,,,SendMessage,,,
11,민우,음…다시 해야겠네…,Hiding,다시 숨겨보자,,Loop,,
12,민우,좋았어...위치 확인도 완료…,,,,,,
12,민우,일단 집으로 돌아가야겠다…,Interact,버스를 타고 집으로 돌아가자,,SettingObj,,
13,민우,휴...끝나긴 했는데…\경찰 통제선에... 연락받고 당황하던 태도…,,,,,,
13,민우,이거 진짜 문제없는 알바 맞아…??,NextPhase,,,,,
