index,text
0,"아, 이쪽 골목은 왜 이렇게 어두워? 가로등 또 고장 났나 봐."
0,그러게. 안 그래도 좁은 길인데 발밑 조심해서 걸어.
1,"야, 내 친구가 요즘 무슨 단기 알바 하는데 돈 엄청 번대."
1,그런 꿀알바가 어딨냐? 다 사기거나 이상한 일이지. 땀 흘려서 벌어라.
1,아니 진짜라니까? 그냥 물건만 어디 가져다주면 끝난대.
2,요즘 이 동네 밤늦게 오토바이가 너무 많이 다니지 않아? 시끄러워 죽겠네.
2,배달이 많은가 보지. 신경 끄고 얼른 들어가서 자기나 하자.
3,아... 오늘 야근 너무 빡셌다. 진짜 피곤하네.
3,고생했어. 들어가서 시원하게 맥주나 한 캔 하고 자자.
4,막차 끊기기 전에 정류장 와서 다행이다…
,
,
5,어? 저기 쓰레기봉투 다 뜯어져 있네. 또 고양이가 그랬나?
5,밤만 되면 길고양이들이 자꾸 몰려오더라니까.
6,"자기야, 방금 저기 상가 뒤쪽에서 무슨 바스락거리는 소리 나지 않았어?"
6,그냥 쥐나 고양이겠지. 괜히 쫄지 말고 빨리 걷기나 해.
7,편의점에서 뭐 좀 더 사갈까?
7,됐어. 밤에 먹으면 다 살로 가. 그냥 가자.
8,저 사람... 아까부터 계속 같은 자리만 빙빙 도는 거 같지 않아?
8,길을 잃었거나 취객이겠지. 눈 마주치지 말고 지나가.
