index,name,text,Trigger,Quest,StartEvent,EndEvent,OptionA,OptionB
0,민우,여기쯤에서 기다리고 있으면 연락 준댔나…?\언제까지 기다려야하지…,,,,SendMessage,,
0,민우,생각하자마자 바로 연락이 올 줄은 몰랐네\ 하라는대로만 하면 되겠지?,Reply,핸드폰을 키고 연락을 보내자,,,,
1,민우,버스정류장에 물건이 있다고?,,,,,,
1,민우,왜 직접 만나서 안주고…아니다\우선 물건 먼저 가져오자,Interact,버스 정류장에서 물건을 가져오자,,SettingObj,,
2,민우,우왓…\생각보다 엄청 묵직하네…?,,,,,,
2,민우,뭐...\ 방송 소품이라고 하니까 시키는 대로만 하자. 200만 원이 눈앞인데,,,,,,
2,민우,우선 픽업했다고 말해줘야겠다,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
3,,,,,SendMessage,,,
3,민우,탐색기라…,,,,,,
3,민우,음…목적지 근처로 가면 알림이 울린다고 했었나?\약간 금속 탐지기처럼?,,,,SettingObj,,
3,민우,일단 찾아가봐야겠다,OpenPanel,탐색기를 활용해 목적지를 찾아가자,,,,
4,민우,여기에 숨기라고?,,,,,,
4,민우,숨길곳이 몇몇 보이긴 하네…빨리 숨기고 보고해야겠다\(빛나는 곳을 클릭하세요),Hiding,,,,,
5,민우,음…이정도면 괜찮지 않을까?\잘 숨긴거 같은 느낌이 들어!,,,,,,
5,민우,숨겼다고 보고하자,Reply,핸드폰을 키고 연락을 보내자,,ReplyMessage,,
6,,,,,SendMessage,Escape,,
7,,,,,SendMessage,,,
7,민우,이런…조금 더 안보이는곳에 숨겼어야했나…,,,,,,
7,민우,다른곳에 다시 숨겨보자….,Hiding,,,Loop,,
8,민우,여기다 숨기면 될것 같았어!,,,,,,
8,민우,이제 집으로 돌아가볼까?,Interact,버스를 타고 집으로 돌아가자,SettingObj,,,
9,민우,돈만 들어오면…계획은 완벽해…!!,NextPhase,,,,,
